Season,Life History,Year,Plot,Quadrat,Ambr_arte,Amsi_tess,Andr_occi,Astr_allo,Astr_nutt,Bail_mult,Brom_rube,Caly_wrig,Chae_stev,Chem_frem,Chor_tene,Cryp_cras,Cryp_micr,Cryp_sp3,Cryp_sp4,Dale_brac,Desc_pinn,Delp_sp1,D_sp2,Dith_wisl,Eria_diff,Erig_dive,Erio_aber,Erio_lemm,Erod_cicu,Erod_texa,Esch_mexi,Gili_sinu,Hapl_grac,Lapp_redo,Lepi_lasi,Lesq_gord,Lina_bige,Lina_texa,Lupi_cocc,Lupi_sp,Lupi_sp2,Mala_fend,Micr_lene,Nama_hisp,Oeno_prim,Oeno_sp,Pani_hirt,Pect_sp,Phac_ariz,Plag_arix,Plan_purs,Schi_barb,Sper_echi,Step_exig,Verb_ence,Vulp_octo,unk1,unk2,unk3,unk4,unk5,Desc_sp2,ukn_grass,Astr_spp
Winter,Annual,1983,1,55,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,0,0,14,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,57,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,3,-99,-99,-99,0,-99,-99,-99,5,0,63,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,3,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,71,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,11,-99,-99,-99,1,-99,-99,-99,47,0,47,-99,0,0,0,5,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,73,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,16,-99,-99,-99,5,-99,-99,-99,15,0,243,-99,0,0,0,4,0,-99,0,0,-99,-99,-99,0,-99,2,1,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,75,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,3,27,-99,-99,-99,8,-99,-99,-99,4,0,82,-99,0,0,0,4,0,-99,0,0,-99,-99,-99,0,-99,7,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,1,77,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,3,-99,-99,-99,2,-99,-99,-99,6,0,30,-99,0,0,0,16,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,11,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,13,-99,-99,-99,23,-99,-99,-99,35,0,99,-99,0,0,0,11,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,13,-99,-99,-99,0,1,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,7,0,50,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,15,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,14,0,49,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,1,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,17,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,4,0,26,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,1,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,31,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,17,-99,-99,-99,10,-99,-99,-99,42,0,80,-99,0,0,0,32,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,1,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,33,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,18,-99,-99,-99,18,-99,-99,-99,39,0,46,-99,0,0,0,19,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,1,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,35,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,1,-99,-99,-99,8,-99,-99,-99,2,0,10,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,37,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,1,-99,-99,-99,95,-99,-99,-99,5,1,116,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,5,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,51,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,6,-99,-99,-99,7,-99,-99,-99,12,0,26,-99,0,0,0,19,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,53,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,1,-99,-99,-99,6,0,20,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,55,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,3,-99,-99,-99,5,0,34,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,1,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,57,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,12,-99,-99,-99,24,-99,-99,-99,53,1,71,-99,0,0,0,28,0,-99,1,0,-99,-99,-99,0,-99,7,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,71,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,5,-99,-99,-99,16,-99,-99,-99,9,0,127,-99,5,0,0,4,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,73,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,4,-99,-99,-99,1,0,27,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,75,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,2,-99,-99,-99,5,-99,-99,-99,22,0,69,-99,0,0,0,6,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,2,77,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,1,-99,-99,-99,6,-99,-99,-99,10,0,58,-99,0,0,0,12,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,11,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,29,0,13,-99,1,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,13,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,9,-99,-99,-99,2,0,11,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,1,0,-99,-99,1,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,15,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,0,-99,-99,-99,22,0,49,-99,0,1,0,0,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,17,-99,-99,-99,0,0,2,-99,-99,0,-99,-99,0,2,-99,-99,-99,1,-99,-99,-99,6,0,34,-99,0,0,0,0,0,-99,0,1,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,31,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,3,-99,-99,-99,4,-99,-99,-99,21,0,86,-99,0,0,0,2,0,-99,0,0,-99,-99,-99,0,-99,3,1,-99,-99,0,-99,-99,1,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,33,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,9,-99,-99,-99,9,-99,-99,-99,16,0,79,-99,0,0,0,3,0,-99,0,0,-99,-99,-99,0,-99,12,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,35,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,3,-99,-99,-99,20,0,62,-99,0,0,0,16,0,-99,1,0,-99,-99,-99,0,-99,11,1,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,37,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,1,-99,-99,-99,4,-99,-99,-99,24,0,54,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,6,2,-99,-99,0,-99,-99,1,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,51,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,23,-99,-99,-99,5,-99,-99,-99,22,1,16,-99,0,0,0,18,0,-99,0,0,-99,-99,-99,0,-99,6,0,-99,-99,0,-99,-99,0,-99,0,-99,3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,53,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,3,-99,-99,-99,6,-99,-99,-99,12,0,51,-99,0,0,0,7,0,-99,0,0,-99,-99,-99,0,-99,21,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,55,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,3,-99,-99,-99,15,-99,-99,-99,30,0,81,-99,0,0,0,26,0,-99,0,0,-99,-99,-99,0,-99,13,0,-99,-99,0,-99,-99,0,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,57,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,6,-99,-99,-99,14,0,89,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,71,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,54,-99,-99,-99,7,-99,-99,-99,73,0,14,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,16,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,73,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,15,-99,-99,-99,15,-99,-99,-99,23,0,69,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,14,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,75,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,5,7,-99,-99,-99,45,-99,-99,-99,27,9,184,-99,1,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,15,3,-99,-99,0,-99,-99,0,-99,0,-99,3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,3,77,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,1,-99,-99,-99,2,-99,-99,-99,2,0,55,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,7,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,11,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,21,-99,-99,-99,14,0,73,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,5,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,13,-99,-99,-99,1,0,0,-99,-99,0,-99,-99,1,0,-99,-99,-99,16,-99,-99,-99,42,0,110,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,14,0,-99,-99,0,-99,-99,0,-99,0,-99,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,15,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,3,1,-99,-99,-99,11,-99,-99,-99,2,0,30,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,11,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,17,-99,-99,-99,0,0,2,-99,-99,0,-99,-99,0,0,-99,-99,-99,3,-99,-99,-99,4,0,83,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,11,0,-99,-99,0,-99,-99,1,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,31,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,13,-99,-99,-99,12,-99,-99,-99,61,0,97,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,14,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,33,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,11,-99,-99,-99,20,-99,-99,-99,34,0,82,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,9,0,-99,-99,0,-99,-99,0,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,35,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,6,-99,-99,-99,2,0,85,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,14,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,37,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,1,-99,-99,-99,0,0,7,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,51,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,0,-99,-99,-99,29,-99,-99,-99,17,0,124,-99,0,0,108,0,0,-99,0,0,-99,-99,-99,0,-99,11,0,-99,-99,63,-99,-99,1,-99,0,-99,1,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,55,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,57,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,0,-99,-99,-99,14,-99,-99,-99,3,0,60,-99,0,0,0,1,0,-99,0,0,-99,-99,-99,0,-99,9,0,-99,-99,0,-99,-99,3,-99,0,-99,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,71,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,19,-99,-99,-99,6,0,31,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,73,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,5,-99,-99,-99,41,0,108,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,12,0,-99,-99,0,-99,-99,1,-99,0,-99,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,75,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,2,2,-99,-99,-99,20,-99,-99,-99,33,0,149,-99,0,0,0,2,0,-99,0,0,-99,-99,-99,0,-99,18,1,-99,-99,0,-99,-99,1,-99,0,-99,0,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,4,77,-99,-99,-99,0,0,3,-99,-99,0,-99,-99,1,0,-99,-99,-99,4,-99,-99,-99,3,0,97,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,6,0,-99,-99,0,-99,-99,1,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,11,-99,-99,-99,0,0,1,-99,-99,0,-99,-99,0,0,-99,-99,-99,8,-99,-99,-99,0,0,41,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,13,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,1,0,-99,-99,-99,0,-99,-99,-99,1,0,68,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,15,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,9,-99,-99,-99,1,0,90,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,0,-99,-99,1,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,17,-99,-99,-99,0,0,1,-99,-99,0,-99,-99,8,3,-99,-99,-99,21,-99,-99,-99,4,1,161,-99,0,0,0,4,4,-99,0,0,-99,-99,-99,0,-99,5,1,-99,-99,0,-99,-99,0,-99,0,-99,4,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,31,-99,-99,-99,0,0,2,-99,-99,0,-99,-99,0,0,-99,-99,-99,1,-99,-99,-99,0,0,22,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,33,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,2,0,-99,-99,-99,2,-99,-99,-99,0,0,6,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,35,-99,-99,-99,0,1,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,12,-99,-99,-99,0,0,130,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,0,-99,0,-99,12,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,37,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,2,0,-99,-99,-99,2,-99,-99,-99,4,0,35,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,1,0,-99,-99,0,-99,-99,0,-99,0,-99,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,51,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,0,0,-99,-99,-99,3,-99,-99,-99,1,0,30,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,2,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,53,-99,-99,-99,0,0,1,-99,-99,0,-99,-99,0,0,-99,-99,-99,4,-99,-99,-99,1,0,46,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,3,0,-99,-99,0,-99,-99,1,-99,0,-99,3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,55,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,2,0,-99,-99,-99,0,-99,-99,-99,1,0,13,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,0,0,-99,-99,0,-99,-99,0,-99,0,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
Winter,Annual,1983,5,57,-99,-99,-99,0,0,0,-99,-99,0,-99,-99,4,1,-99,-99,-99,9,-99,-99,-99,2,0,177,-99,0,0,0,0,0,-99,0,0,-99,-99,-99,0,-99,4,0,-99,-99,0,-99,-99,0,-99,0,-99,3,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
