"","Plot","Year","total_species","total_abundance","avg_abundance"
"51",12,1997,3616,2440,0.674778761061947
"52",12,1998,3616,677,0.187223451327434
"53",12,1999,3616,202,0.0558628318584071
"54",12,2000,3616,90,0.0248893805309735
"55",12,2001,3616,742,0.205199115044248
"56",12,2002,3616,832,0.230088495575221
"57",13,1989,3616,3879,1.07273230088496
"58",13,1990,3616,2160,0.597345132743363
"59",13,1991,3616,1147,0.317201327433628
"60",13,1992,3616,2909,0.804480088495575
"61",13,1993,3616,3290,0.909845132743363
"62",13,1994,3616,529,0.146294247787611
"63",13,1995,3616,2451,0.677820796460177
"64",13,1996,3616,170,0.0470132743362832
"65",13,1997,3616,2404,0.664823008849557
"66",13,1998,3616,1073,0.296736725663717
"67",13,1999,3616,311,0.0860066371681416
"68",13,2000,3616,170,0.0470132743362832
"69",13,2001,3616,907,0.250829646017699
"70",13,2002,3616,846,0.23396017699115
"71",14,1989,3616,4032,1.11504424778761
"72",14,1990,3616,5379,1.48755530973451
"73",14,1991,3616,1956,0.540929203539823
"74",14,1992,3616,3225,0.891869469026549
"75",14,1993,3616,1535,0.424502212389381
"76",14,1994,3616,105,0.029037610619469
"77",14,1995,3616,858,0.237278761061947
"78",14,1996,3616,74,0.0204646017699115
"79",14,1997,3616,1103,0.305033185840708
"80",14,1998,3616,166,0.0459070796460177
"81",14,1999,3616,46,0.0127212389380531
"82",14,2000,3616,230,0.0636061946902655
"83",14,2001,3616,516,0.142699115044248
"84",14,2002,3616,302,0.0835176991150443
"85",15,1989,3616,2835,0.784015486725664
"86",15,1990,3616,3863,1.06830752212389
"87",15,1991,3616,5018,1.38772123893805
"88",15,1992,3616,787,0.217643805309735
"89",15,1993,3616,1525,0.421736725663717
"90",15,1994,3616,58,0.0160398230088496
"91",15,1995,3616,1597,0.441648230088496
"92",15,1996,3616,89,0.0246128318584071
"93",15,1997,3616,1370,0.378871681415929
"94",15,1998,3616,409,0.113108407079646
"95",15,1999,3616,61,0.0168694690265487
"96",15,2000,3616,212,0.0586283185840708
"97",15,2001,3616,638,0.176438053097345
"98",15,2002,3616,460,0.127212389380531
"99",16,1989,3616,10132,2.80199115044248
"100",16,1990,3616,9088,2.51327433628319
"101",16,1991,3616,1111,0.307245575221239
"102",16,1992,3616,5957,1.64740044247788
"103",16,1993,3616,4688,1.29646017699115
"104",16,1994,3616,597,0.165099557522124
"105",16,1995,3616,2562,0.708517699115044
"106",16,1996,3616,447,0.123617256637168
"107",16,1997,3616,3918,1.08351769911504
"108",16,1998,3616,1923,0.531803097345133
"109",16,1999,3616,261,0.072179203539823
"110",16,2000,3616,80,0.0221238938053097
"111",16,2001,3616,918,0.253871681415929
"112",16,2002,3616,798,0.220685840707965
"113",17,1989,3616,7152,1.97787610619469
"114",17,1990,3616,5734,1.58573008849558
"115",17,1991,3616,563,0.155696902654867
"116",17,1992,3616,3700,1.02323008849558
"117",17,1993,3616,3939,1.08932522123894
"118",17,1994,3616,72,0.0199115044247788
"119",17,1995,3616,1338,0.370022123893805
"120",17,1996,3616,225,0.0622234513274336
"121",17,1997,3616,3182,0.879977876106195
"122",17,1998,3616,384,0.106194690265487
"123",17,1999,3616,188,0.0519911504424779
"124",17,2000,3616,267,0.0738384955752212
"125",17,2001,3616,774,0.214048672566372
"126",17,2002,3616,651,0.180033185840708
"127",18,1989,3616,779,0.215431415929204
"128",18,1990,3616,1148,0.317477876106195
"129",18,1991,3616,582,0.160951327433628
"130",18,1992,3616,2202,0.60896017699115
"131",18,1993,3616,2002,0.553650442477876
"132",18,1994,3616,284,0.0785398230088496
"133",18,1995,3616,1035,0.286227876106195
"134",18,1996,3616,228,0.0630530973451327
"135",18,1997,3616,2573,0.711559734513274
"136",18,1998,3616,1531,0.423396017699115
"137",18,1999,3616,159,0.0439712389380531
"138",18,2000,3616,121,0.033462389380531
"139",18,2001,3616,647,0.178926991150442
"140",18,2002,3616,419,0.11587389380531
"141",19,1989,3616,10634,2.9408185840708
"142",19,1990,3616,2971,0.82162610619469
"143",19,1991,3616,464,0.128318584070796
"144",19,1992,3616,6157,1.70271017699115
"145",19,1993,3616,3868,1.06969026548673
"146",19,1994,3616,668,0.184734513274336
"147",19,1995,3616,1795,0.496404867256637
"148",19,1996,3616,280,0.0774336283185841
"149",19,1997,3616,3083,0.852599557522124
"150",19,1998,3616,1662,0.45962389380531
"151",19,1999,3616,306,0.0846238938053097
"152",19,2000,3616,128,0.0353982300884956
"153",19,2001,3616,1045,0.288993362831858
"154",19,2002,3616,756,0.209070796460177
"155",2,1989,3616,8250,2.28152654867257
"156",2,1990,3616,11475,3.17339601769911
"157",2,1991,3616,3063,0.847068584070796
"158",2,1992,3616,2123,0.587112831858407
"159",2,1993,3616,2701,0.74695796460177
"160",2,1994,3616,803,0.222068584070796
"161",2,1995,3616,2906,0.803650442477876
"162",2,1996,3616,152,0.0420353982300885
"163",2,1997,3616,1635,0.452157079646018
"164",2,1998,3616,1208,0.334070796460177
"165",2,1999,3616,600,0.165929203539823
"166",2,2000,3616,143,0.0395464601769911
"167",2,2001,3616,677,0.187223451327434
"168",2,2002,3616,1161,0.321073008849558
"169",20,1989,3616,8497,2.34983407079646
"170",20,1990,3616,10516,2.90818584070796
"171",20,1991,3616,2036,0.563053097345133
"172",20,1992,3616,4236,1.17146017699115
"173",20,1993,3616,4384,1.21238938053097
"174",20,1994,3616,421,0.116426991150442
"175",20,1995,3616,1484,0.410398230088496
"176",20,1996,3616,433,0.119745575221239
"177",20,1997,3616,2533,0.700497787610619
"178",20,1998,3616,930,0.257190265486726
"179",20,1999,3616,240,0.0663716814159292
"180",20,2000,3616,40,0.0110619469026549
"181",20,2001,3616,789,0.218196902654867
"182",20,2002,3616,736,0.20353982300885
"183",21,1989,3616,14745,4.07771017699115
"184",21,1990,3616,10450,2.88993362831858
"185",21,1991,3616,609,0.16841814159292
"186",21,1992,3616,3434,0.94966814159292
"187",21,1993,3616,4535,1.2541482300885
"188",21,1994,3616,560,0.154867256637168
"189",21,1995,3616,1669,0.461559734513274
"190",21,1996,3616,256,0.0707964601769911
"191",21,1997,3616,2373,0.65625
"192",21,1998,3616,1317,0.364214601769911
"193",21,1999,3616,139,0.0384402654867257
"194",21,2000,3616,56,0.0154867256637168
"195",21,2001,3616,942,0.260508849557522
"196",21,2002,3616,868,0.240044247787611
"197",22,1989,3616,11390,3.14988938053097
"198",22,1990,3616,8014,2.2162610619469
"199",22,1991,3616,998,0.275995575221239
"200",22,1992,3616,1835,0.507466814159292
"201",22,1993,3616,3705,1.02461283185841
"202",22,1994,3616,1516,0.419247787610619
"203",22,1995,3616,2188,0.605088495575221
"204",22,1996,3616,403,0.111449115044248
"205",22,1997,3616,2150,0.594579646017699
"206",22,1998,3616,944,0.261061946902655
"207",22,1999,3616,211,0.0583517699115044
"208",22,2000,3616,167,0.0461836283185841
"209",22,2001,3616,756,0.209070796460177
"210",22,2002,3616,1104,0.305309734513274
"211",23,1989,3616,14014,3.87555309734513
"212",23,1990,3616,7102,1.96404867256637
"213",23,1991,3616,343,0.0948561946902655
"214",23,1992,3616,4789,1.32439159292035
"215",23,1993,3616,4625,1.27903761061947
"216",23,1994,3616,788,0.217920353982301
"217",23,1995,3616,2930,0.810287610619469
"218",23,1996,3616,415,0.114767699115044
"219",23,1997,3616,3145,0.869745575221239
"220",23,1998,3616,2720,0.752212389380531
"221",23,1999,3616,255,0.0705199115044248
"222",23,2000,3616,63,0.0174225663716814
"223",23,2001,3616,1177,0.325497787610619
"224",23,2002,3616,1423,0.393528761061947
"225",24,1989,3616,4554,1.25940265486726
"226",24,1990,3496,3221,0.921338672768879
"227",24,1991,3736,433,0.115899357601713
"228",24,1992,3616,1998,0.552544247787611
"229",24,1993,3616,2428,0.67146017699115
"230",24,1994,3616,107,0.0295907079646018
"231",24,1995,3616,835,0.23091814159292
"232",24,1996,3616,89,0.0246128318584071
"233",24,1997,3616,1583,0.437776548672566
"234",24,1998,3616,494,0.136615044247788
"235",24,1999,3616,140,0.038716814159292
"236",24,2000,3616,171,0.0472898230088496
"237",24,2001,3616,767,0.212112831858407
"238",24,2002,3616,392,0.108407079646018
"239",3,1989,3616,11682,3.23064159292035
"240",3,1990,3616,8506,2.35232300884956
"241",3,1991,3616,1160,0.320796460176991
"242",3,1992,3616,4600,1.27212389380531
"243",3,1993,3616,4513,1.24806415929204
"244",3,1994,3616,594,0.164269911504425
"245",3,1995,3616,1282,0.354535398230089
"246",3,1996,3616,297,0.0821349557522124
"247",3,1997,3616,3745,1.03567477876106
"248",3,1998,3616,1345,0.37195796460177
"249",3,1999,3616,479,0.132466814159292
"250",3,2000,3616,279,0.0771570796460177
"251",3,2001,3616,840,0.232300884955752
"252",3,2002,3616,1714,0.474004424778761
"253",4,1989,3616,12534,3.4662610619469
"254",4,1990,3616,14245,3.93943584070796
"255",4,1991,3616,1445,0.399612831858407
"256",4,1992,3616,5900,1.63163716814159
"257",4,1993,3616,5207,1.4399889380531
"258",4,1994,3616,486,0.134402654867257
"259",4,1995,3616,1210,0.33462389380531
"260",4,1996,3616,337,0.0931969026548673
"261",4,1997,3616,3356,0.928097345132743
"262",4,1998,3616,579,0.160121681415929
"263",4,1999,3616,243,0.0672013274336283
"264",4,2000,3616,258,0.0713495575221239
"265",4,2001,3616,741,0.204922566371681
"266",4,2002,3616,1375,0.380254424778761
"267",5,1989,3616,9666,2.67311946902655
"268",5,1990,3616,6802,1.88108407079646
"269",5,1991,3616,928,0.256637168141593
"270",5,1992,3616,3614,0.999446902654867
"271",5,1993,3616,4237,1.17173672566372
"272",5,1994,3616,182,0.0503318584070796
"273",5,1995,3616,948,0.26216814159292
"274",5,1996,3616,316,0.0873893805309734
"275",5,1997,3616,1887,0.521847345132743
"276",5,1998,3616,835,0.23091814159292
"277",5,1999,3616,271,0.0749446902654867
"278",5,2000,3616,239,0.0660951327433628
"279",5,2001,3616,616,0.170353982300885
"280",5,2002,3616,823,0.227599557522124
"281",6,1989,3616,9992,2.76327433628319
"282",6,1990,3616,5652,1.56305309734513
"283",6,1991,3616,681,0.188329646017699
"284",6,1992,3616,5433,1.5024889380531
"285",6,1993,3616,4143,1.14574115044248
"286",6,1994,3616,161,0.0445243362831858
"287",6,1995,3616,1023,0.282909292035398
"288",6,1996,3616,85,0.0235066371681416
"289",6,1997,3616,1638,0.452986725663717
"290",6,1998,3616,385,0.106471238938053
"291",6,1999,3616,494,0.136615044247788
"292",6,2000,3616,256,0.0707964601769911
"293",6,2001,3616,533,0.147400442477876
"294",6,2002,3616,520,0.143805309734513
"295",7,1989,3616,9859,2.72649336283186
"296",7,1990,3616,3270,0.904314159292035
"297",7,1991,3616,1703,0.470962389380531
"298",7,1992,3616,2334,0.645464601769911
"299",7,1993,3616,3541,0.979258849557522
"300",7,1994,3616,1183,0.327157079646018
"301",7,1995,3616,1768,0.488938053097345
"302",7,1996,3616,55,0.0152101769911504
"303",7,1997,3616,1845,0.510232300884956
"304",7,1998,3616,2167,0.599280973451327
"305",7,1999,3616,228,0.0630530973451327
"306",7,2000,3616,110,0.0304203539823009
"307",7,2001,3616,812,0.224557522123894
"308",7,2002,3616,713,0.197179203539823
"309",8,1989,3616,14136,3.90929203539823
"310",8,1990,3616,7236,2.00110619469027
"311",8,1991,3616,3651,1.00967920353982
"312",8,1992,3616,6531,1.80613938053097
"313",8,1993,3616,6671,1.84485619469027
"314",8,1994,3616,798,0.220685840707965
"315",8,1995,3616,2431,0.67228982300885
"316",8,1996,3616,290,0.0801991150442478
"317",8,1997,3616,3714,1.0271017699115
"318",8,1998,3616,1305,0.360896017699115
"319",8,1999,3616,287,0.0793694690265487
"320",8,2000,3616,142,0.0392699115044248
"321",8,2001,3616,830,0.229535398230089
"322",8,2002,3616,1173,0.324391592920354
"323",9,1989,3616,13305,3.67948008849558
"324",9,1990,3616,7761,2.14629424778761
"325",9,1991,3616,1931,0.534015486725664
"326",9,1992,3616,5202,1.43860619469027
"327",9,1993,3616,2179,0.602599557522124
"328",9,1994,3616,320,0.0884955752212389
"329",9,1995,3616,943,0.260785398230089
"330",9,1996,3616,72,0.0199115044247788
"331",9,1997,3616,979,0.270741150442478
"332",9,1998,3616,229,0.0633296460176991
"333",9,1999,3616,136,0.0376106194690266
"334",9,2000,3616,234,0.064712389380531
"335",9,2001,3616,339,0.09375
"336",9,2002,3616,621,0.171736725663717
